Visitor ID,Visitor: Last Visit,Number of Days Active,Number of Events,Visitor: Most recent browser name
"	+16155991772",2025-10-30 20:06:04,9,967,Chrome
"	+13182081034",2025-10-30 19:44:47,15,2131,Chrome
"	+16155848598",2025-10-30 19:20:01,20,4065,Chrome
"	+18282732188",2025-10-30 14:17:43,1,39,Safari
"	+16158041229",2025-10-27 18:36:11,3,152,Safari
"	+16158042433",2025-10-27 01:06:23,5,192,Safari
"	+16159274575",2025-10-25 02:39:46,3,29,Safari
"	+16154207284",2025-10-22 12:35:43,2,46,Chrome
54,2025-10-21 14:22:19,9,125,Chrome
"	+13107026460",2025-10-19 10:16:56,3,70,Safari
anonymous-1760760749012,2025-10-18 00:12:29,1,2,Safari
anonymous-1760649993925,2025-10-17 20:46:04,1,3,Webkit
anonymous-1760648196377,2025-10-17 20:46:03,1,5,Webkit
"	+18034876918",2025-10-17 19:37:55,1,8,Safari
anonymous-1760673752632,2025-10-17 00:02:33,1,3,Safari
anonymous-1760666432737,2025-10-16 22:00:32,1,4,Chrome
anonymous-1760666427238,2025-10-16 22:00:27,1,3,Chrome
anonymous-1760666396813,2025-10-16 21:59:56,1,3,Chrome
anonymous-1760666149466,2025-10-16 21:55:49,1,3,Chrome
anonymous-1760666141131,2025-10-16 21:55:41,1,3,Webkit
anonymous-1760665801190,2025-10-16 21:50:01,1,3,Webkit
anonymous-1760665654307,2025-10-16 21:47:34,1,3,Chrome
anonymous-1760664547551,2025-10-16 21:29:07,1,3,Webkit
anonymous-1760664513959,2025-10-16 21:28:34,1,2,Safari
anonymous-1760664450546,2025-10-16 21:27:30,1,14,Safari
anonymous-1760664447826,2025-10-16 21:27:27,1,2,Safari
anonymous-1760662717257,2025-10-16 20:58:37,1,4,Chrome
anonymous-1760662712868,2025-10-16 20:58:33,1,3,Chrome
anonymous-1760662552999,2025-10-16 20:55:53,1,2,Chrome
anonymous-1760662531352,2025-10-16 20:55:31,1,12,Chrome
anonymous-1760661134602,2025-10-16 20:32:15,1,3,Chrome
anonymous-1760660946367,2025-10-16 20:29:06,1,3,Chrome
anonymous-1760660772987,2025-10-16 20:26:13,1,4,Chrome
anonymous-1760660768706,2025-10-16 20:26:09,1,3,Chrome
anonymous-1760660514165,2025-10-16 20:21:54,1,3,Chrome
anonymous-1760657867557,2025-10-16 19:37:47,1,4,Chrome
anonymous-1760657862368,2025-10-16 19:37:42,1,3,Chrome
anonymous-1760655312334,2025-10-16 18:55:12,1,2,Chrome
anonymous-1760655247644,2025-10-16 18:54:07,1,2,Chrome
anonymous-1760655198322,2025-10-16 18:53:18,1,2,Chrome
anonymous-1760653475615,2025-10-16 18:50:34,1,14,Chrome
anonymous-1760654268694,2025-10-16 18:37:49,1,2,Chrome
anonymous-1760654245880,2025-10-16 18:37:26,1,2,Chrome
anonymous-1760653965206,2025-10-16 18:32:45,1,2,Chrome
anonymous-1760653943735,2025-10-16 18:32:23,1,2,Chrome
anonymous-1760653835922,2025-10-16 18:31:49,1,21,Chrome
anonymous-1760653830325,2025-10-16 18:30:30,1,3,Chrome
anonymous-1760652644947,2025-10-16 18:10:45,1,2,Chrome
anonymous-1760652514879,2025-10-16 18:08:36,1,14,Chrome
anonymous-1760651519600,2025-10-16 17:51:59,1,2,Chrome
anonymous-1760651479512,2025-10-16 17:51:19,1,15,Chrome
anonymous-1760651324082,2025-10-16 17:48:44,1,4,Chrome
anonymous-1760651319366,2025-10-16 17:48:39,1,3,Chrome
anonymous-1760651316300,2025-10-16 17:48:36,1,2,Chrome
anonymous-1760651054695,2025-10-16 17:44:15,1,15,Chrome
anonymous-1760651042048,2025-10-16 17:44:02,1,3,Safari
anonymous-1760650395074,2025-10-16 17:33:15,1,3,Chrome
anonymous-1760650123337,2025-10-16 17:28:43,1,14,Safari
anonymous-1760650120113,2025-10-16 17:28:40,1,2,Safari
anonymous-1760650110301,2025-10-16 17:28:30,1,3,Safari
anonymous-1760648158499,2025-10-16 16:56:20,1,13,Chrome
anonymous-1760647344276,2025-10-16 16:42:24,1,14,Chrome
anonymous-1760647257982,2025-10-16 16:40:58,1,3,Chrome
anonymous-1760647246735,2025-10-16 16:40:46,1,4,Chrome
anonymous-1760647242240,2025-10-16 16:40:42,1,3,Chrome
anonymous-1760647002045,2025-10-16 16:37:22,1,12,Chrome
anonymous-1760645382278,2025-10-16 16:09:42,1,4,Chrome
anonymous-1760645363950,2025-10-16 16:09:24,1,3,Chrome
anonymous-1760645042610,2025-10-16 16:04:02,1,3,Chrome
anonymous-1760644820171,2025-10-16 16:00:20,1,3,Chrome
anonymous-1760644638136,2025-10-16 15:57:18,1,3,Chrome
anonymous-1760644565878,2025-10-16 15:56:06,1,4,Chrome
anonymous-1760644562119,2025-10-16 15:56:02,1,3,Chrome
anonymous-1760640394922,2025-10-16 14:46:35,1,3,Chrome
anonymous-1760640143143,2025-10-16 14:42:23,1,2,Chrome
anonymous-1760640108576,2025-10-16 14:41:48,1,2,Chrome
anonymous-1760639993092,2025-10-16 14:40:15,1,14,Chrome
anonymous-1760639964958,2025-10-16 14:39:25,1,2,Chrome
anonymous-1760639417326,2025-10-16 14:30:17,1,13,Safari
anonymous-1760639414078,2025-10-16 14:30:14,1,2,Safari
anonymous-1760639412690,2025-10-16 14:30:12,1,3,Safari
anonymous-1760639159894,2025-10-16 14:26:00,1,2,Chrome
anonymous-1760639096389,2025-10-16 14:24:56,1,2,Chrome
anonymous-1760638812651,2025-10-16 14:20:12,1,2,Chrome
anonymous-1760638285516,2025-10-16 14:11:25,1,15,Chrome
anonymous-1760635772346,2025-10-16 13:29:32,1,20,Chrome
anonymous-1760631604341,2025-10-16 12:20:04,1,3,Chrome
anonymous-1760626374070,2025-10-16 10:52:54,1,2,Chrome
anonymous-1760626332709,2025-10-16 10:52:12,1,2,Chrome
anonymous-1760626290818,2025-10-16 10:51:30,1,15,Chrome
anonymous-1760626289254,2025-10-16 10:51:29,1,2,Chrome
anonymous-1760625923672,2025-10-16 10:45:23,1,2,Chrome
anonymous-1760625890913,2025-10-16 10:44:51,1,2,Chrome
anonymous-1760625836786,2025-10-16 10:43:56,1,2,Chrome
anonymous-1760625819770,2025-10-16 10:43:39,1,2,Chrome
anonymous-1760625677234,2025-10-16 10:41:17,1,2,Chrome
anonymous-1760625605613,2025-10-16 10:40:05,1,2,Chrome
anonymous-1760584779061,2025-10-15 23:19:39,1,2,Safari
anonymous-1760584213108,2025-10-15 23:10:13,1,2,Safari
anonymous-1760504004326,2025-10-15 00:53:24,1,3,Safari
anonymous-1760472594370,2025-10-14 16:10:04,1,14,Safari
22,2025-10-14 10:03:29,13,449,Chrome
anonymous-1760449429841,2025-10-14 09:43:50,1,2,Safari
anonymous-1760418064694,2025-10-14 01:01:04,1,2,Safari
anonymous-1760417963635,2025-10-14 00:59:23,1,2,Safari
anonymous-1760417386998,2025-10-14 00:49:47,1,15,Safari
anonymous-1760413628126,2025-10-13 23:47:08,1,4,Opera
anonymous-1760398070998,2025-10-13 19:28:07,1,17,Chrome
anonymous-1760385906381,2025-10-13 16:05:06,1,2,Chrome
anonymous-1760384282931,2025-10-13 15:38:03,1,2,Webkit
anonymous-1760384226815,2025-10-13 15:37:07,1,3,Webkit
anonymous-1760384226864,2025-10-13 15:37:06,1,2,Webkit
anonymous-1760384140579,2025-10-13 15:35:40,1,3,Webkit
"	+14586663091",2025-10-13 15:35:07,1,6,Safari
anonymous-1760384071141,2025-10-13 15:35:06,1,13,Safari
anonymous-1760383929589,2025-10-13 15:32:09,1,9,Safari
anonymous-1760383907455,2025-10-13 15:31:47,1,2,Safari
anonymous-1760383701103,2025-10-13 15:28:21,1,3,Webkit
anonymous-1760383548014,2025-10-13 15:25:48,1,3,Webkit
anonymous-1760383269872,2025-10-13 15:21:10,1,3,Webkit
anonymous-1760383269874,2025-10-13 15:21:10,1,3,Webkit
anonymous-1760383204599,2025-10-13 15:20:04,1,2,Safari
anonymous-1760383043448,2025-10-13 15:17:23,1,3,Webkit
anonymous-1760377651134,2025-10-13 13:47:31,1,3,Chrome
anonymous-1760377360933,2025-10-13 13:42:41,1,3,Chrome
anonymous-1760376661004,2025-10-13 13:31:01,1,3,Chrome
anonymous-1760376113249,2025-10-13 13:21:53,1,3,Chrome
anonymous-1760375813608,2025-10-13 13:16:53,1,3,Chrome
anonymous-1760375563265,2025-10-13 13:12:43,1,4,Chrome
anonymous-1760375558225,2025-10-13 13:12:38,1,3,Chrome
anonymous-1760374600400,2025-10-13 12:56:40,1,3,Chrome
anonymous-1760368639161,2025-10-13 11:17:19,1,2,Safari
anonymous-1760327120083,2025-10-12 23:45:20,1,2,Safari
anonymous-1760303945995,2025-10-12 17:19:06,1,2,Safari
anonymous-1760299162468,2025-10-12 15:59:22,1,2,Safari
anonymous-1760299138023,2025-10-12 15:58:58,1,2,Safari
anonymous-1760299134889,2025-10-12 15:58:55,1,2,Safari
anonymous-1760299133711,2025-10-12 15:58:53,1,2,Safari
anonymous-1760290357918,2025-10-12 13:32:38,1,2,Safari
anonymous-1760281625576,2025-10-12 11:07:05,1,2,Chrome
anonymous-1760281109944,2025-10-12 10:58:30,1,2,Chrome
anonymous-1760280473117,2025-10-12 10:47:53,1,2,Chrome
anonymous-1760280185438,2025-10-12 10:43:05,1,2,Chrome
anonymous-1760245896241,2025-10-12 01:11:36,1,2,Safari
anonymous-1760244414267,2025-10-12 00:47:02,1,15,Safari
anonymous-1760243867777,2025-10-12 00:37:47,1,3,Safari
anonymous-1760229910490,2025-10-11 20:45:10,1,2,Safari
anonymous-1760229797054,2025-10-11 20:43:17,1,2,Safari
anonymous-1760223764741,2025-10-11 19:02:44,1,2,Chrome
anonymous-1760216526952,2025-10-11 17:02:07,1,16,Safari
anonymous-1760215524138,2025-10-11 16:45:24,1,14,Safari
anonymous-1760215520934,2025-10-11 16:45:21,1,2,Safari
anonymous-1760215498797,2025-10-11 16:44:58,1,2,Safari
anonymous-1760215477819,2025-10-11 16:44:38,1,2,Safari
anonymous-1760215463563,2025-10-11 16:44:23,1,15,Safari
anonymous-1760215438724,2025-10-11 16:44:00,1,2,Webkit
anonymous-1760215438640,2025-10-11 16:44:00,1,3,Webkit
anonymous-1760215282578,2025-10-11 16:41:22,1,2,Chrome
anonymous-1760215231456,2025-10-11 16:40:31,1,12,Chrome
anonymous-1760215045980,2025-10-11 16:38:39,1,22,Chrome
anonymous-1760214999415,2025-10-11 16:36:39,1,3,Chrome
anonymous-1760214682948,2025-10-11 16:31:23,1,2,Chrome
anonymous-1760214634502,2025-10-11 16:30:34,1,20,Chrome
anonymous-1760214448862,2025-10-11 16:27:28,1,4,Chrome
